i,comhash,comhash0
1341, 10, 500
1342, 12, 512
1343, 284, 468
1344, 0, 506
1345, 444, 541
1346, 58, 570
1347, 275, 565
1348, 11, 522
1349, 50, 483
1350, 1, 505
1351, 1, 539
1352, 2, 527
1353, 39, 517
1354, 23, 453
1355, 3, 506
1356, 17, 465
1357, 5, 453
1358, 18, 487
1359, 250, 449
1360, 0, 523
1361, 454, 459
1362, 46, 488
1363, 259, 483
1364, 14, 460
1365, 53, 477
1366, 4, 440
1367, 0, 471
1368, 2, 417
1369, 39, 463
1370, 22, 447
1371, 2, 445
1372, 20, 440
1373, 8, 397
1374, 19, 427
1375, 262, 462
1376, 0, 481
1377, 456, 479
1378, 44, 449
1379, 285, 413
1380, 10, 443
1381, 45, 466
1382, 0, 442
1383, 1, 465
1384, 7, 455
1385, 51, 452
1386, 26, 447
1387, 1, 478
1388, 21, 482
1389, 7, 485
1390, 16, 440
1391, 285, 517
1392, 0, 488
1393, 459, 549
1394, 53, 480
1395, 274, 497
1396, 10, 561
1397, 68, 564
1398, 0, 575
1399, 2, 523
1400, 5, 557
1401, 55, 560
1402, 29, 595
1403, 2, 589
1404, 22, 599
1405, 8, 608
1406, 13, 588
1407, 255, 644
1408, 1, 641
1409, 436, 613
1410, 51, 629
1411, 284, 696
1412, 11, 674
1413, 45, 647
1414, 2, 650
1415, 4, 658
1416, 3, 659
1417, 48, 686
1418, 24, 693
1419, 0, 674
1420, 23, 711
1421, 4, 678
1422, 11, 694
1423, 270, 726
1424, 0, 694
1425, 405, 719
1426, 39, 745
1427, 272, 712
1428, 10, 658
1429, 50, 689
1430, 1, 679
1431, 0, 666
1432, 6, 652
1433, 67, 623
1434, 26, 713
1435, 1, 666
1436, 31, 599
1437, 9, 690
1438, 16, 642
1439, 260, 660
1440, 1, 657
1441, 397, 608
1442, 50, 585
1443, 261, 596
1444, 5, 607
1445, 53, 575
1446, 1, 600
1447, 6, 584
1448, 2, 594
1449, 53, 571
1450, 33, 598
1451, 0, 641
1452, 20, 599
1453, 7, 589
1454, 20, 609
1455, 259, 599
1456, 0, 591
1457, 456, 589
1458, 43, 616
1459, 278, 609
1460, 14, 563
1461, 52, 604
1462, 0, 563
1463, 6, 632
1464, 3, 569
1465, 56, 644
1466, 23, 683
1467, 6, 638
1468, 14, 616
1469, 8, 646
1470, 15, 696
1471, 287, 638
1472, 0, 673
1473, 477, 727
1474, 42, 686
1475, 274, 757
1476, 4, 806
1477, 50, 720
1478, 1, 744
1479, 4, 704
1480, 9, 731
1481, 57, 767
1482, 24, 796
1483, 3, 725
1484, 20, 784
1485, 2, 788
1486, 23, 794
1487, 253, 831
1488, 0, 841
1489, 449, 853
1490, 50, 879
1491, 261, 812
1492, 8, 826
1493, 54, 822
1494, 2, 784
1495, 1, 805
1496, 10, 810
1497, 42, 861
1498, 22, 793
1499, 6, 805
1500, 19, 849
1501, 7, 815
1502, 23, 845
1503, 245, 756
1504, 0, 851
1505, 420, 775
1506, 42, 816
1507, 278, 809
1508, 4, 759
1509, 55, 796
1510, 1, 801
1511, 0, 731
1512, 4, 713
1513, 38, 824
1514, 29, 778
1515, 3, 758
1516, 25, 749
1517, 9, 766
1518, 10, 747
1519, 248, 686
1520, 0, 736
1521, 429, 729
1522, 40, 727
1523, 260, 679
1524, 12, 704
1525, 56, 705
1526, 1, 714
1527, 4, 723
1528, 4, 678
1529, 51, 659
1530, 21, 649
1531, 2, 727
1532, 19, 718
1533, 11, 642
1534, 20, 644
1535, 238, 695
1536, 0, 679
1537, 426, 699
1538, 57, 731
1539, 269, 682
1540, 7, 742
1541, 43, 748
1542, 1, 711
1543, 6, 734
1544, 5, 725
1545, 35, 729
1546, 18, 751
1547, 4, 761
1548, 18, 775
1549, 9, 783
1550, 15, 811
1551, 265, 775
1552, 1, 781
1553, 434, 746
1554, 45, 774
1555, 288, 865
1556, 15, 869
1557, 42, 767
1558, 2, 819
1559, 4, 894
1560, 0, 836
1561, 56, 917
1562, 28, 852
1563, 4, 877
1564, 17, 971
1565, 14, 995
1566, 27, 906
1567, 245, 943
1568, 0, 859
1569, 440, 910
1570, 41, 850
1571, 250, 928
1572, 4, 881
1573, 45, 891
1574, 1, 900
1575, 3, 868
1576, 1, 929
1577, 50, 867
1578, 25, 900
1579, 1, 862
1580, 19, 823
1581, 8, 881
1582, 17, 908
1583, 251, 898
1584, 0, 802
1585, 425, 915
1586, 46, 829
1587, 267, 821
1588, 8, 821
1589, 49, 840
1590, 0, 768
1591, 5, 763
1592, 6, 792
1593, 49, 813
1594, 14, 763
1595, 4, 775
1596, 20, 740
1597, 5, 747
1598, 21, 697
1599, 235, 755
1600, 0, 880
1601, 425, 787
1602, 54, 757
1603, 271, 811
1604, 11, 753
1605, 60, 817
1606, 0, 762
1607, 7, 745
1608, 1, 818
1609, 53, 727
1610, 28, 676
1611, 4, 711
1612, 27, 701
1613, 13, 753
1614, 20, 763
1615, 267, 728
1616, 0, 785
1617, 438, 723
1618, 61, 749
1619, 244, 766
1620, 7, 707
1621, 54, 843
1622, 2, 789
1623, 8, 761
1624, 6, 768
1625, 51, 767
1626, 14, 777
1627, 1, 857
1628, 16, 852
1629, 16, 874
1630, 14, 805
1631, 222, 824
1632, 0, 836
1633, 446, 851
1634, 40, 815
1635, 258, 855
1636, 11, 848
1637, 49, 825
1638, 1, 903
1639, 0, 851
1640, 2, 930
1641, 43, 866
1642, 21, 833
1643, 1, 908
1644, 19, 900
1645, 17, 910
1646, 17, 869
1647, 263, 866
1648, 2, 876
1649, 385, 909
1650, 40, 874
1651, 245, 932
1652, 7, 909
1653, 58, 896
1654, 1, 862
1655, 4, 871
1656, 3, 944
1657, 51, 858
1658, 25, 864
1659, 5, 890
